repository,files,detector,seconds,findings
lencx/ChatGPT,74,qubit,4.08,0
lencx/ChatGPT,74,pqaudit,0.06,0
lencx/ChatGPT,74,semgrep,7.19,0
lencx/ChatGPT,74,cryptoscan,0.56,0
valinet/ExplorerPatcher,238,qubit,5.06,0
valinet/ExplorerPatcher,238,pqaudit,0.98,32
valinet/ExplorerPatcher,238,semgrep,12.56,0
valinet/ExplorerPatcher,238,cryptoscan,3.17,0
realm/SwiftLint,959,qubit,26.99,7
realm/SwiftLint,959,pqaudit,1.92,11
realm/SwiftLint,959,semgrep,28.14,0
realm/SwiftLint,959,cryptoscan,4.27,1
JetBrains/compose-multiplatform,2127,qubit,13.92,5
JetBrains/compose-multiplatform,2127,pqaudit,2.8,21
JetBrains/compose-multiplatform,2127,semgrep,112.08,1
JetBrains/compose-multiplatform,2127,cryptoscan,12.19,6
