repository,total_findings,elapsed_s
fruitcake/laravel-debugbar,16,27.5
react/create-react-app,17,85.3
realm/SwiftLint,19,119.7
JetBrains/compose-multiplatform,33,201.1
starship/starship,65,90.1
coder/code-server,76,27.7
TheAlgorithms/Python,110,88.0
allinurl/goaccess,123,20.8
mpv-player/mpv,135,89.6
withastro/astro,164,506.8
usememos/memos,228,166.9
redis/redis,354,178.6
permissionlesstech/bitchat,435,102.7
conductor-oss/conductor,694,435.9
multica-ai/multica,1021,746.5
gatsbyjs/gatsby,1184,626.4
openwrt/openwrt,2654,1438.4
