language,rules,explicit_pqc_rules,dynamic_rules,can_report_a_pqc_target
bash,9,0,9,"yes, resolved from source"
c,13,3,5,"yes, explicit rules"
cpp,17,3,9,"yes, explicit rules"
csharp,13,1,12,"yes, explicit rules"
dart,6,0,4,"yes, resolved from source"
go,35,2,9,"yes, explicit rules"
java,23,2,11,"yes, explicit rules"
javascript,27,3,14,"yes, explicit rules"
kotlin,8,0,6,"yes, resolved from source"
php,13,0,11,"yes, resolved from source"
powershell,6,0,6,"yes, resolved from source"
python,41,3,4,"yes, explicit rules"
ruby,8,0,7,"yes, resolved from source"
rust,8,1,7,"yes, explicit rules"
scala,7,0,6,"yes, resolved from source"
sql,11,0,7,"yes, resolved from source"
swift,10,2,7,"yes, explicit rules"
tsx,26,2,14,"yes, explicit rules"
typescript,26,2,14,"yes, explicit rules"
