source,setting,type,default
packages/qubit-api/src/qubit_api/settings.py,db_url,"str","Field(default_factory=default_db_url)"
packages/qubit-api/src/qubit_api/settings.py,api_token,"str","'qubit-dev-token-do-not-use-in-prod'  # noqa: S105 — dev default; override via QUBIT_API_TOKEN"
packages/qubit-api/src/qubit_api/settings.py,api_prefix,"str","'/api/v1'"
packages/qubit-api/src/qubit_api/settings.py,bind_host,"str","'127.0.0.1'"
packages/qubit-api/src/qubit_api/settings.py,bind_port,"int","8787"
packages/qubit-api/src/qubit_api/settings.py,create_schema_on_startup,"bool","True"
packages/qubit-api/src/qubit_api/settings.py,dashboard_dist,"str | None","None"
packages/qubit-api/src/qubit_api/settings.py,scan_roots,"str","''"
packages/qubit-api/src/qubit_api/settings.py,rate_limit_per_minute,"int","120"
packages/qubit-migrate/src/qubit_migrate/config.py,model,"str","'qwen2.5-coder:7b-instruct-q4_K_M'"
packages/qubit-migrate/src/qubit_migrate/config.py,fallback_model,"str","'qwen2.5-coder:1.5b-instruct-q4_K_M'"
packages/qubit-migrate/src/qubit_migrate/config.py,llm_timeout,"float","180.0"
packages/qubit-migrate/src/qubit_migrate/config.py,llm_verify_rescan,"bool","True"
packages/qubit-migrate/src/qubit_migrate/config.py,max_repair_rounds,"int","2"
packages/qubit-migrate/src/qubit_migrate/config.py,min_confidence,"float","0.5"
packages/qubit-migrate/src/qubit_migrate/config.py,no_docker,"bool","False  # set True to skip stages 3-4"
packages/qubit-risk/src/qubit_risk/config.py,hardware_priors,"dict[str, Any]","(required)"
packages/qubit-risk/src/qubit_risk/config.py,resource_estimates,"dict[str, Any]","(required)"
packages/qubit-risk/src/qubit_risk/config.py,sensitivity_rules,"dict[str, Any]","(required)"
packages/qubit-risk/src/qubit_risk/config.py,shelf_life_priors,"dict[str, Any]","(required)"
packages/qubit-risk/src/qubit_risk/config.py,mosca,"dict[str, Any]","(required)"
packages/qubit-risk/src/qubit_risk/config.py,expert_survey,"dict[str, Any]","field(default_factory=dict)"
packages/qubit-risk/src/qubit_risk/config.py,bn_cpds,"dict[str, Any]","field(default_factory=dict)"
packages/qubit-risk/src/qubit_risk/config.py,cnsa2_milestones,"dict[str, Any]","field(default_factory=dict)"
packages/qubit-risk/src/qubit_risk/config.py,params_hash,"str","field(default='')"
packages/qubit-risk/src/qubit_risk/config.py,data,"dict[str, dict[str, Any]]","{}"
