table,owner,column,type,nullable,primary_key,foreign_key
api_tokens,qubit-core,id,CHAR(32),False,True,
api_tokens,qubit-core,name,VARCHAR(64),False,False,
api_tokens,qubit-core,token_hash,VARCHAR(64),False,False,
api_tokens,qubit-core,scopes,VARCHAR(2),False,False,
api_tokens,qubit-core,created_at,DATETIME,False,False,
api_tokens,qubit-core,last_used_at,DATETIME,True,False,
api_tokens,qubit-core,revoked_at,DATETIME,True,False,
assets,qubit-core,id,CHAR(32),False,True,
assets,qubit-core,scan_id,CHAR(32),False,False,scans.id
assets,qubit-core,project_id,CHAR(32),False,False,projects.id
assets,qubit-core,fingerprint,VARCHAR(16),False,False,
assets,qubit-core,source_scanner,VARCHAR(8),False,False,
assets,qubit-core,asset_type,VARCHAR(16),False,False,
assets,qubit-core,algorithm,VARCHAR(64),False,False,
assets,qubit-core,key_size,INTEGER,True,False,
assets,qubit-core,usage_context,VARCHAR(20),False,False,
assets,qubit-core,sensitivity,VARCHAR(12),False,False,
assets,qubit-core,shelf_life_years,FLOAT,True,False,
assets,qubit-core,qv_vulnerable,BOOLEAN,False,False,
assets,qubit-core,qv_attack,VARCHAR(8),False,False,
assets,qubit-core,confidence,VARCHAR(8),False,False,
assets,qubit-core,rule_id,VARCHAR,True,False,
assets,qubit-core,stale,BOOLEAN,False,False,
assets,qubit-core,location,JSON,False,False,
assets,qubit-core,protocol_detail,JSON,True,False,
assets,qubit-core,library,JSON,True,False,
assets,qubit-core,evidence,JSON,False,False,
assets,qubit-core,discovered_at,DATETIME,False,False,
assets,qubit-core,last_seen_at,DATETIME,False,False,
assets,qubit-core,risk_score,FLOAT,True,False,
assets,qubit-core,risk_ci_low,FLOAT,True,False,
assets,qubit-core,risk_ci_high,FLOAT,True,False,
assets,qubit-core,mosca_margin_years,FLOAT,True,False,
assets,qubit-core,priority_rank,INTEGER,True,False,
assets,qubit-core,migration_status,VARCHAR(10),True,False,
assets,qubit-core,migration_json,JSON,True,False,
jobs,qubit-core,id,CHAR(32),False,True,
jobs,qubit-core,kind,VARCHAR(16),False,False,
jobs,qubit-core,status,VARCHAR(12),False,False,
jobs,qubit-core,project_id,CHAR(32),True,False,projects.id
jobs,qubit-core,ref_id,CHAR(32),True,False,
jobs,qubit-core,progress,FLOAT,False,False,
jobs,qubit-core,stage,VARCHAR(64),False,False,
jobs,qubit-core,message,VARCHAR(256),False,False,
jobs,qubit-core,payload,JSON,False,False,
jobs,qubit-core,result,JSON,True,False,
jobs,qubit-core,error,VARCHAR,True,False,
jobs,qubit-core,created_at,DATETIME,False,False,
jobs,qubit-core,started_at,DATETIME,True,False,
jobs,qubit-core,finished_at,DATETIME,True,False,
migration_dependency_edges,qubit-migrate,id,INTEGER,False,True,
migration_dependency_edges,qubit-migrate,plan_id,CHAR(32),False,False,migration_plans.id
migration_dependency_edges,qubit-migrate,src_asset_id,CHAR(32),False,False,assets.id
migration_dependency_edges,qubit-migrate,dst_asset_id,CHAR(32),False,False,assets.id
migration_dependency_edges,qubit-migrate,edge_type,VARCHAR(64),False,False,
migration_dependency_edges,qubit-migrate,confidence,FLOAT,False,False,
migration_dependency_edges,qubit-migrate,evidence_json,JSON,False,False,
migration_events,qubit-migrate,id,INTEGER,False,True,
migration_events,qubit-migrate,task_id,CHAR(32),False,False,migration_tasks.id
migration_events,qubit-migrate,from_state,VARCHAR(32),True,False,
migration_events,qubit-migrate,to_state,VARCHAR(32),False,False,
migration_events,qubit-migrate,actor,VARCHAR(64),False,False,
migration_events,qubit-migrate,detail_json,JSON,False,False,
migration_events,qubit-migrate,at,DATETIME,False,False,
migration_patches,qubit-migrate,id,CHAR(32),False,True,
migration_patches,qubit-migrate,task_id,CHAR(32),False,False,migration_tasks.id
migration_patches,qubit-migrate,kind,VARCHAR(16),False,False,
migration_patches,qubit-migrate,generator,VARCHAR(16),False,False,
migration_patches,qubit-migrate,model_name,VARCHAR(128),True,False,
migration_patches,qubit-migrate,file_path,TEXT,False,False,
migration_patches,qubit-migrate,base_sha256,VARCHAR(64),False,False,
migration_patches,qubit-migrate,diff_text,TEXT,False,False,
migration_patches,qubit-migrate,new_files_json,JSON,False,False,
migration_patches,qubit-migrate,validation_json,JSON,False,False,
migration_patches,qubit-migrate,status,VARCHAR(32),False,False,
migration_patches,qubit-migrate,review_note,TEXT,True,False,
migration_patches,qubit-migrate,reviewed_at,DATETIME,True,False,
migration_patches,qubit-migrate,applied_branch,VARCHAR(128),True,False,
migration_patches,qubit-migrate,applied_commit,VARCHAR(64),True,False,
migration_patches,qubit-migrate,created_at,DATETIME,False,False,
migration_plans,qubit-migrate,id,CHAR(32),False,True,
migration_plans,qubit-migrate,created_at,DATETIME,False,False,
migration_plans,qubit-migrate,project_id,CHAR(32),True,False,projects.id
migration_plans,qubit-migrate,scan_id,CHAR(32),True,False,scans.id
migration_plans,qubit-migrate,scope_json,JSON,False,False,
migration_plans,qubit-migrate,config_json,JSON,False,False,
migration_plans,qubit-migrate,status,VARCHAR(32),False,False,
migration_plans,qubit-migrate,stats_json,JSON,False,False,
migration_tasks,qubit-migrate,id,CHAR(32),False,True,
migration_tasks,qubit-migrate,plan_id,CHAR(32),False,False,migration_plans.id
migration_tasks,qubit-migrate,unit_id,CHAR(32),False,False,migration_units.id
migration_tasks,qubit-migrate,asset_id,CHAR(32),False,False,assets.id
migration_tasks,qubit-migrate,state,VARCHAR(32),False,False,
migration_tasks,qubit-migrate,rule_id,VARCHAR(64),True,False,
migration_tasks,qubit-migrate,effort_points,INTEGER,False,False,
migration_tasks,qubit-migrate,effort_json,JSON,False,False,
migration_tasks,qubit-migrate,priority,FLOAT,False,False,
migration_tasks,qubit-migrate,rank,INTEGER,False,False,
migration_tasks,qubit-migrate,attempts,INTEGER,False,False,
migration_tasks,qubit-migrate,last_error,TEXT,True,False,
migration_tasks,qubit-migrate,resolution,VARCHAR(32),True,False,
migration_tasks,qubit-migrate,advice_text,TEXT,True,False,
migration_tasks,qubit-migrate,advice_model,VARCHAR(128),True,False,
migration_tasks,qubit-migrate,advice_at,DATETIME,True,False,
migration_units,qubit-migrate,id,CHAR(32),False,True,
migration_units,qubit-migrate,plan_id,CHAR(32),False,False,migration_plans.id
